Naziv ustanove,Univerzitet,Nivo,Zvanje,Dužina trajanja programa (u god),Polje_skraceno,Vlasnistvo,Akreditaciona kvota,Broj studenata,Broj prijavljenih kandidata,Broj svršenih studenata tokom prethodne školske godine,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata na zavrsnoj godini
Medicinski fakultet,Univerzitet u Novom Sadu,Integr. akademske,Doktor stomatologije,5,MD,Državni fakultet,144.0,531.0,174.0,62.0,89.0,97.0,89.0,77.0,179.0,0.0,238.0,198.0,95.0,179.0
Medicinski fakultet,Univerzitet u Novom Sadu,Integr. akademske,Magistar farmacije,5,MD,Državni fakultet,216.0,577.0,143.0,88.0,113.0,119.0,100.0,96.0,149.0,0.0,385.0,188.0,4.0,149.0
Medicinski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani defektolog,4,DH,Državni fakultet,72.0,408.0,116.0,53.0,76.0,68.0,76.0,188.0,0.0,0.0,262.0,146.0,0.0,188.0
Medicinski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani terapeut rehabilitacije,4,MD,Državni fakultet,45.0,229.0,110.0,39.0,54.0,39.0,43.0,93.0,0.0,0.0,153.0,76.0,0.0,93.0
Medicinski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Organizator zdravstvene nege,4,MD,Državni fakultet,54.0,275.0,54.0,64.0,55.0,38.0,52.0,130.0,0.0,0.0,172.0,103.0,0.0,130.0
Medicinski fakultet VMA,Univerzitet odbrane,Integr. akademske,Doktor medicine,6,MD,Državni fakultet,0.0,158.0,0.0,18.0,25.0,25.0,26.0,28.0,29.0,25.0,157.0,0.0,1.0,25.0
"Medicinski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Integr. akademske,Doktor medicine,6,MD,Državni fakultet,80.0,1100.0,194.0,72.0,129.0,167.0,160.0,141.0,79.0,424.0,302.0,789.0,9.0,424.0
"Medicinski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Integr. akademske,Doktor medicinskih nauka stomatologija,5,MD,Državni fakultet,40.0,435.0,70.0,41.0,67.0,54.0,33.0,49.0,232.0,0.0,75.0,359.0,1.0,232.0
"Medicinski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Organizator zdravstvene nege,4,MD,Državni fakultet,30.0,193.0,19.0,14.0,37.0,53.0,18.0,85.0,0.0,0.0,0.0,193.0,0.0,85.0
Muzički i primenjene umetnosti,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani dizajner,4,UM,Državni fakultet,14.0,66.0,21.0,13.0,15.0,13.0,14.0,24.0,0.0,0.0,55.0,11.0,0.0,24.0
Muzički i primenjene umetnosti,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani likovni umetnik,4,UM,Državni fakultet,14.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muzički i primenjene umetnosti,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani muzički umetnik,4,UM,Državni fakultet,28.0,43.0,33.0,3.0,9.0,9.0,7.0,18.0,0.0,0.0,29.0,14.0,0.0,18.0
Muzički i primenjene umetnosti,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani primenjeni umetnik,4,UM,Državni fakultet,13.0,98.0,14.0,16.0,25.0,19.0,32.0,22.0,0.0,0.0,74.0,24.0,0.0,22.0
"Pedagoški fakultet, Sombor",Univerzitet u Novom Sadu,Osnovne akademske,Bibliotekar,3,DH,Državni fakultet,0.0,16.0,0.0,5.0,0.0,8.0,8.0,0.0,0.0,0.0,15.0,1.0,0.0,8.0
"Pedagoški fakultet, Sombor",Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani bibliotekar - informatičar,4,DH,Državni fakultet,20.0,39.0,15.0,14.0,15.0,3.0,4.0,17.0,0.0,0.0,20.0,19.0,0.0,17.0
"Pedagoški fakultet, Sombor",Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani vaspitač,4,DH,Državni fakultet,50.0,155.0,14.0,32.0,17.0,22.0,12.0,104.0,0.0,0.0,66.0,89.0,0.0,104.0
"Pedagoški fakultet, Sombor",Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani dizajner medija u obrazovanju,4,DH,Državni fakultet,45.0,51.0,8.0,13.0,8.0,13.0,13.0,17.0,0.0,0.0,39.0,12.0,0.0,17.0
"Pedagoški fakultet, Sombor",Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani učitelj,4,DH,Državni fakultet,89.0,258.0,42.0,61.0,45.0,32.0,30.0,151.0,0.0,0.0,147.0,111.0,0.0,151.0
Poslovni fakultet u Valjevu (PFV),Univerzitet Singidunum,Osnovne akademske,Diplomirana medicinska sestra,4,MD,Privatni fakultet,40.0,117.0,42.0,17.0,35.0,38.0,20.0,24.0,0.0,0.0,0.0,117.0,0.0,24.0
Poslovni fakultet u Valjevu (PFV),Univerzitet Singidunum,Osnovne akademske,Diplomirani ekonomista,4,DH,Privatni fakultet,140.0,163.0,75.0,39.0,47.0,37.0,29.0,50.0,0.0,0.0,0.0,163.0,0.0,50.0
Poslovni fakultet u Valjevu (PFV),Univerzitet Singidunum,Osnovne akademske,Diplomirani poslovni informatičar,4,DH,Privatni fakultet,30.0,19.0,10.0,3.0,8.0,5.0,3.0,3.0,0.0,0.0,0.0,19.0,0.0,3.0
Poslovni fakultet u Valjevu (PFV),Univerzitet Singidunum,Osnovne akademske,Diplomirani pravnik,4,DH,Privatni fakultet,30.0,51.0,20.0,8.0,15.0,14.0,10.0,12.0,0.0,0.0,0.0,51.0,0.0,12.0
Poljoprivredni fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani inženjer poljoprivrede,4,TT,Državni fakultet,550.0,2150.0,241.0,112.0,402.0,294.0,297.0,1157.0,0.0,0.0,1135.0,1014.0,1.0,1157.0
Poljoprivredni fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani inženjer tehnologije,4,TT,Državni fakultet,300.0,1070.0,208.0,122.0,255.0,168.0,182.0,465.0,0.0,0.0,611.0,459.0,0.0,465.0
Poljoprivredni fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani menadžer,4,DH,Državni fakultet,120.0,691.0,86.0,50.0,105.0,92.0,99.0,395.0,0.0,0.0,363.0,328.0,0.0,395.0
Poljoprivredni fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer pejzažne arhitekture,4,IMT,Državni fakultet,50.0,182.0,32.0,42.0,30.0,28.0,22.0,102.0,0.0,0.0,121.0,61.0,0.0,102.0
Poljoprivredni fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani inženjer poljoprivrede,4,TT,Državni fakultet,490.0,1745.0,313.0,138.0,396.0,219.0,261.0,869.0,0.0,0.0,1026.0,718.0,1.0,869.0
Poljoprivredni fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani menadžer,4,DH,Državni fakultet,140.0,619.0,101.0,34.0,105.0,65.0,86.0,363.0,0.0,0.0,350.0,268.0,1.0,363.0
Poljoprivredni fakultet u Kruševcu,Univerzitet u Nišu,Osnovne akademske,Diplomirani inženjer poljoprivrede,4,TT,Državni fakultet,75.0,53.0,56.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0
