"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"2360.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Електротехника","Администратор рачунарских мрежа","4","Босански језик","1","0","0","27","3","0","0","0","1","0","0","26","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2361.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Машинство и обрада метала","Техничар за компјутерско управљање","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","28","6","0","0","0","1","0","0","16","5","0","0","0","1","0","0","16","1","1","2","0"
"2362.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","3","1","0","0","1","0","0","16","0","0","2","0"
"2363.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Машинство и обрада метала","Аутомеханичар","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0"
"2364.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Електротехника","Електротехничар енергетике","4","Српски језик","1","0","0","28","2","0","0","0","1","0","0","22","0","0","0","0","1","0","0","18","0","0","0","0","1","0","0","16","1","0","0","0"
"2365.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Електротехника","Електротехничар за термичке и расхладне уређаје","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","1","0","0","0","0","0","0","0","0","0","0","0"
"2366.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Електротехника","Електроинсталатер","3","Српски језик","1","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2367.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Саобраћај","Техничар друмског саобраћаја","4","Српски језик","1","0","0","29","7","0","0","0","1","0","0","31","6","0","0","0","2","0","0","60","11","0","0","0","2","0","0","61","6","0","0","0"
"2368.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Саобраћај","Возач моторних возила","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0"
"2369.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Машинство и обрада метала","Машински техничар моторних возила","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","0","0","0","0"
